INSTITUICAO_ENSINO_ALUNO_2020,NOME,IDADE_ALUNO_2020,ANOS_PM_2020,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,INDE_CONCEITO_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
Escola Pública,ALUNO-274,16,2,5A,Não,6113055666666660,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,791667,2024-06-05 00:00:00,2024-05-07 00:00:00,36666666666666600,7291666666666660,7444443333333330,5
Escola Pública,ALUNO-275,13,3,3M,Não,6399376666666660,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10000020000000000,2024-02-05 00:00:00,2024-05-07 00:00:00,4333333333333330,609375,5666665,10
Escola Pública,ALUNO-277,12,2,1E,Não,8018889999999990,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9500020000000000,2024-04-08 00:00:00,5625,10,7708333333333330,7777773333333330,5
Escola Pública,ALUNO-278,17,1,5L,Não,8240834333333330,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,875001,2024-06-09 00:00:00,9375,7333333333333330,8749999999999990,8333333333333330,5
Escola Pública,ALUNO-280,10,2,1F,Não,66462520000000000,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,2024-02-06 00:00:00,5,2024-05-06 00:00:00,5625-06-01 00:00:00,8,5
Escola Pública,ALUNO-284,14,0,3A,Não,7901875833333330,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,791667,2024-09-09 00:00:00,2024-05-07 00:00:00,7666666666666660,796875,77500025,5
Escola Pública,ALUNO-285,11,0,2D,Não,5112502,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9500020000000000,0,2024-05-07 00:00:00,1,8125,7,10
Escola Pública,ALUNO-286,12,0,1G,Não,6956252,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8000020000000000,6,6875,2024-05-07 00:00:00,7.1875,7.75,5
Escola Pública,ALUNO-287,11,1,2H,Sim,8302085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,74166799999999904,2024-05-08 00:00:00,2024-05-07 00:00:00,2024-05-07 00:00:00,4375-08-01 00:00:00,8833335,10
Escola Pública,ALUNO-288,12,0,2C,Não,6840002,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,2024-07-07 00:00:00,2024-05-07 00:00:00,3.75,8333333333333330,7833333333333330,5
Escola Pública,ALUNO-292,15,1,4B,Sim,8485558666666660,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10000020000000000,2024-09-09 00:00:00,6875,7666666666666660,8958333333333330,944445,5
Escola Pública,ALUNO-293,14,1,5F,Não,44162505,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,666667,2024-03-01 00:00:00,4375,0,7.1875,66666675,10
Escola Pública,ALUNO-295,9,3,1D,Não,7586252,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-09-08 00:00:00,4375,7.25,6875-04-01 00:00:00,7.75,10
Escola Pública,ALUNO-296,10,0,2B,Não,7713335,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-09-08 00:00:00,2024-05-07 00:00:00,5,2024-05-07 00:00:00,7666665,10
Escola Pública,ALUNO-297,15,1,3J,Não,7201112,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,833334,2024-07-08 00:00:00,4375,6,8125,838889,5
Escola Pública,ALUNO-298,11,2,1G,Não,63366690000000000,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,2024-06-06 00:00:00,5,2024-05-06 00:00:00,5,6833335,5
Estácio,ALUNO-299,19,4,8A,,8388334,B,Ametista,Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,583334,10,5625,2024-02-09 00:00:00,0,0,10
UNISA,ALUNO-300,18,1,8A,,6776668000000000,C,Ágata,Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,916668,0,2024-05-07 00:00:00,2024-04-08 00:00:00,0,0,10
Escola Pública,ALUNO-301,9,1,1J,Não,8848335333333330,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10000020000000000,2024-02-09 00:00:00,2024-05-07 00:00:00,2024-05-09 00:00:00,7916666666666660,7833333333333330,10
Rede Decisão/União,ALUNO-305,13,2,2J,Não,7361390666666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,2024-03-08 00:00:00,2024-05-07 00:00:00,2024-05-06 00:00:00,6458333333333330,8277776666666660,5
Escola Pública,ALUNO-306,17,1,7B,Não,38914599999999904,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,666667,2024-04-01 00:00:00,4375,0,515625,495834,10
Escola Pública,ALUNO-309,9,1,1G,Não,8200002000000000,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8500020000000000,2024-05-06 00:00:00,2024-05-07 00:00:00,10,2024-05-07 00:00:00,7.75,10
Escola Pública,ALUNO-312,11,1,2J,Não,8508890666666660,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10000020000000000,2024-01-09 00:00:00,2024-05-07 00:00:00,2024-05-08 00:00:00,5833333333333330,8277776666666660,10
Escola Pública,ALUNO-313,8,0,0F,Não,79000010000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,750002,10,2024-05-07 00:00:00,2024-05-06 00:00:00,2024-05-07 00:00:00,6749995,10
Escola Pública,ALUNO-315,13,1,4A,Sim,9461114666666660,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,916668,10,9375,8666666666666660,8958333333333330,8889-09-01 00:00:00,10
Escola Pública,ALUNO-316,11,0,2M,Não,64275009999999904,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,741668,2024-07-07 00:00:00,2024-05-07 00:00:00,0,8125,7916665,10
Escola Pública,ALUNO-318,9,0,0B,Não,8300001000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,10,2024-05-07 00:00:00,10,2024-05-07 00:00:00,6999995,5
Escola Pública,ALUNO-319,11,1,2B,Não,71833350000000000,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-05-09 00:00:00,2024-05-07 00:00:00,2,2024-05-07 00:00:00,7416665,10
Escola Pública,ALUNO-321,16,1,6A,Não,49156245,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,458334,2,2024-05-07 00:00:00,2,640625,63333275,10
Rede Decisão/União,ALUNO-323,11,4,1B,Não,6053335000000000,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8000020000000000,2024-01-09 00:00:00,5,2024-05-04 00:00:00,2024-05-02 00:00:00,6416665,5
Escola Pública,ALUNO-324,16,1,6A,Não,8064375833333330,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,875001,2024-09-07 00:00:00,2024-05-07 00:00:00,6666666666666660,859375,8333332500000000,10
Escola Pública,ALUNO-328,14,0,3M,Não,6858541000000000,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,2024-05-07 00:00:00,2024-01-04 00:00:00,2024-05-07 00:00:00,9,796875,720833,5
Rede Decisão/União,ALUNO-329,17,3,7B,Não,79835415,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791667,2024-06-08 00:00:00,2024-05-07 00:00:00,7,796875,76249975,10
Escola Pública,ALUNO-330,10,3,1F,Não,7680002,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8000020000000000,2024-09-07 00:00:00,2024-05-07 00:00:00,2024-05-08 00:00:00,2024-05-07 00:00:00,8,5
Escola Pública,ALUNO-332,12,1,1H,Não,8258057333333330,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9500020000000000,2024-02-09 00:00:00,2024-05-07 00:00:00,10,7291666666666660,7444443333333330,5
Escola Pública,ALUNO-335,8,0,0B,Não,7470837,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8500020000000000,10,4375,2024-05-09 00:00:00,2024-05-02 00:00:00,5166675,10
Rede Decisão/União,ALUNO-337,14,4,5B,Sim,8952223333333330,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,833334,2024-09-09 00:00:00,10,7,9166666666666660,9111113333333330,10
Escola Pública,ALUNO-338,17,2,7A,Não,59127081666666600,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,833334,2024-01-02 00:00:00,2024-05-07 00:00:00,4333333333333330,734375,65416625,10
Escola Pública,ALUNO-339,14,2,3C,Não,8137224,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,916668,2024-07-09 00:00:00,2024-05-07 00:00:00,7333333333333330,8749999999999990,8444446666666660,5
Escola Pública,ALUNO-340,14,2,3C,Não,7595277333333330,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,833334,2024-04-09 00:00:00,2024-05-07 00:00:00,7,8541666666666660,6888883333333330,5
FIAP,ALUNO-341,19,2,8A,,9096668,A,Topázio,Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,916668,10,2024-05-07 00:00:00,2024-02-09 00:00:00,0,0,10
Rede Decisão/União,ALUNO-342,11,4,2B,Não,8133752000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-02-09 00:00:00,5625,8,3125-05-01 00:00:00,2024-05-08 00:00:00,10
Escola Pública,ALUNO-343,16,0,3J,Sim,7582500666666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,2024-05-07 00:00:00,2024-01-08 00:00:00,2024-05-07 00:00:00,8,8125,9000003333333330,2024-05-02 00:00:00
Escola Pública,ALUNO-344,16,1,6A,Não,4348541,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,0,2024-08-03 00:00:00,5,0,671875,708333,10
Escola Pública,ALUNO-345,8,1,0F,Não,2024-05-08 00:00:00,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8500020000000000,10,2024-05-07 00:00:00,10,2024-05-07 00:00:00,574999,10
Escola Pública,ALUNO-346,8,1,1A,Não,8418752000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,8,2024-05-07 00:00:00,2024-05-09 00:00:00,7.1875,7.75,10
Escola Pública,ALUNO-348,9,1,0D,Não,779167,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9500020000000000,10,6.25,2024-05-09 00:00:00,2024-05-02 00:00:00,783334,5
Escola Pública,ALUNO-349,10,0,0C,Sim,9200004,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9500020000000000,10,2024-05-07 00:00:00,10,10,1000001,5
Escola Pública,ALUNO-353,12,1,2G,Não,7165556666666660,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10000020000000000,2024-03-08 00:00:00,6.25,6,7916666666666660,6944439999999990,5
Escola Pública,ALUNO-354,15,4,4F,Não,4656042,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,916668,2024-04-03 00:00:00,4375,0,796875,6624995,5
Escola Pública,ALUNO-355,11,1,1N,Não,6407502000000000,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,750002,2024-01-08 00:00:00,5,4,7708333333333330,7333333333333330,5
Escola Pública,ALUNO-359,10,1,2F,Não,8175279333333330,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8500020000000000,2024-03-09 00:00:00,2024-05-07 00:00:00,7,7708333333333330,7722219999999990,10
Escola Pública,ALUNO-361,9,1,1F,Não,5668335,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-03-04 00:00:00,5625,0,8125,7666665,10
Escola Pública,ALUNO-364,9,1,1B,Não,7813335,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-09-09 00:00:00,4375,2024-05-07 00:00:00,5625,7166665,10
Rede Decisão/União,ALUNO-365,15,3,5G,Sim,8396044333333330,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,958335,2024-06-09 00:00:00,5,6666666666666660,859375,9125005000000000,10
Escola Pública,ALUNO-367,13,4,3F,Não,8325834666666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,916668,2024-04-09 00:00:00,2024-05-07 00:00:00,6666666666666660,8125,8166666666666660,10
UNISA,ALUNO-368,18,1,8A,,8695001000000000,B,Ametista,Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,875001,10,2024-05-07 00:00:00,2024-03-08 00:00:00,0,0,10
Escola Pública,ALUNO-370,13,1,3G,Sim,8613335,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,875001,2024-09-09 00:00:00,2024-05-07 00:00:00,2024-05-06 00:00:00,8.75,9166669999999990,10
Rede Decisão/União,ALUNO-371,17,3,7B,Não,7379792666666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791667,2024-08-07 00:00:00,5,7333333333333330,578125,741667,10
Escola Pública,ALUNO-372,12,3,2E,Não,6816668000000000,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,8,5,6,2024-05-07 00:00:00,683333,5
Escola Pública,ALUNO-373,14,3,3M,Não,6216666833333330,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,875001,5,5625,5666666666666660,8125,66666625,5
Rede Decisão/União,ALUNO-375,10,4,2B,Sim,9335420000000000,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-05-09 00:00:00,2024-05-07 00:00:00,2024-05-09 00:00:00,6875-09-01 00:00:00,958334,10
Rede Decisão/União,ALUNO-377,11,3,3G,Não,7412223000000000,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9583350000000000,2024-07-06 00:00:00,4375,6,8541666666666660,8111106666666660,10
Rede Decisão/União,ALUNO-378,15,4,5G,Não,79691670000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791667,2024-07-09 00:00:00,3.75,7,8125,8.25,10
Escola Pública,ALUNO-379,14,2,3H,Não,6825-05-01 00:00:00,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10000020000000000,2024-06-06 00:00:00,5,4166666666666660,5625,4833323333333330,5
FIAP,ALUNO-380,19,4,8A,,53950000000000000,D,Quartzo,Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,0,0,4375,2024-08-08 00:00:00,0,0,10
Escola Pública,ALUNO-381,9,1,0D,Não,6443336,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9500020000000000,2024-08-09 00:00:00,2024-05-02 00:00:00,2024-05-08 00:00:00,2024-05-02 00:00:00,416667,5
FIAP,ALUNO-382,18,1,8A,,8848334000000000,B,Ametista,Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,833334,10,6875,2024-01-09 00:00:00,0,0,10
Escola Pública,ALUNO-383,10,1,0E,Não,7918752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9500020000000000,10,6875,2024-05-07 00:00:00,8125-07-01 00:00:00,2024-05-07 00:00:00,5
Escola Pública,ALUNO-385,14,0,3R,Não,7338057,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,875001,2024-06-08 00:00:00,2024-05-07 00:00:00,6,7708333333333330,7611113333333330,5
Escola Pública,ALUNO-387,13,2,2R,Não,6289445333333330,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,2024-06-05 00:00:00,4375,6,6875,7222216666666660,5
Escola Pública,ALUNO-388,12,2,2C,Não,70419453333333296,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8000020000000000,2024-08-08 00:00:00,2024-05-07 00:00:00,2024-05-05 00:00:00,6875,7222216666666660,5
Escola Pública,ALUNO-389,16,0,5A,Sim,8404168666666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,833334,9,2024-05-07 00:00:00,9333333333333330,8541666666666660,9000006666666660,5
Escola Pública,ALUNO-390,15,1,5A,Não,7425278666666660,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,833334,2024-03-05 00:00:00,2024-05-07 00:00:00,7666666666666660,7708333333333330,738889,10
Escola Pública,ALUNO-393,11,3,2F,Não,7212501333333330,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-05-07 00:00:00,6875,4.25,7083333333333330,7833329999999990,10
Rede Decisão/União,ALUNO-394,15,4,4F,Não,5934999666666660,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,2024-05-07 00:00:00,2024-03-05 00:00:00,5,6333333333333330,6.25,6166665,5
Escola Pública,ALUNO-396,15,1,4A,Não,7454722,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,2024-05-07 00:00:00,2024-01-09 00:00:00,2024-05-07 00:00:00,8,8125,611111,5
