NOME,FASE_2021,TURMA_2021,INSTITUICAO_ENSINO_ALUNO_2021,SINALIZADOR_INGRESSANTE_2021,PEDRA_2021,INDE_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,REC_EQUIPE_1_2021,REC_EQUIPE_2_2021,REC_EQUIPE_3_2021,REC_EQUIPE_4_2021,PONTO_VIRADA_2021,IPV_2021,IAN_2021,NIVEL_IDEAL_2021,DEFASAGEM_2021
ALUNO-357,3.0,M,Escola Pública,Ingressante,Ágata,6854,2024-03-08 00:00:00,2024-03-05 00:00:00,2024-05-07 00:00:00,2024-09-05 00:00:00,2024-03-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-06-06 00:00:00,10.0,Nível 3 (7o e 8o ano),0.0
ALUNO-359,2.0,E,Escola Pública,Veterano,Ametista,7326,8.0,5.0,2024-05-07 00:00:00,8.0,2024-05-08 00:00:00,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Sim,2024-01-09 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-363,0.0,O,Escola Pública,Ingressante,Ametista,8231,10.0,2024-03-08 00:00:00,2024-05-07 00:00:00,2024-05-06 00:00:00,2024-08-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-07-08 00:00:00,10.0,ALFA  (2o e 3o ano),0.0
ALUNO-364,2.0,A,Escola Pública,Veterano,Ágata,6306,0.0,2024-05-07 00:00:00,2024-04-04 00:00:00,2024-07-04 00:00:00,2024-01-07 00:00:00,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-06-08 00:00:00,10.0,Nível 2 (5o e 6o ano),0.0
ALUNO-365,6.0,C,Rede Decisão,Veterano,Ametista,7376,2024-02-09 00:00:00,2024-09-06 00:00:00,5.0,2024-05-06 00:00:00,2024-09-06 00:00:00,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,2024-09-07 00:00:00,10.0,Nível 6 (2o EM),0.0
ALUNO-367,4.0,F,Escola Pública,Veterano,Ágata,6392,2024-09-07 00:00:00,2024-04-04 00:00:00,2024-05-07 00:00:00,2024-08-04 00:00:00,7.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não,2024-05-06 00:00:00,10.0,Nível 4 (9o ano),0.0
ALUNO-370,3.0,G,Escola Pública,Veterano,Ametista,8196,2024-09-07 00:00:00,2024-09-08 00:00:00,2024-03-06 00:00:00,2024-01-09 00:00:00,9.0,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Não,2024-09-08 00:00:00,5.0,Nível 4 (9o ano),-1.0
ALUNO-372,2.0,E,Escola Pública,Veterano,Ágata,6360,8.0,2024-04-05 00:00:00,2024-05-07 00:00:00,2024-09-04 00:00:00,2024-05-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,2024-04-07 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-373,4.0,L,Escola Pública,Veterano,Quartzo,4712,2024-02-09 00:00:00,2024-04-04 00:00:00,2024-06-05 00:00:00,2024-05-01 00:00:00,2024-02-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não,2024-02-04 00:00:00,5.0,Nível 5 (1o EM),-1.0
ALUNO-374,7.0,A,Escola Pública,Ingressante,Topázio,8276,2024-06-09 00:00:00,2024-04-09 00:00:00,2024-05-07 00:00:00,2024-04-06 00:00:00,2024-01-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não,2024-09-07 00:00:00,10.0,ERRO,0.0
ALUNO-375,2.0,B,Rede Decisão,Veterano,Topázio,8858,2024-05-09 00:00:00,10.0,2024-05-07 00:00:00,2024-01-08 00:00:00,2024-05-07 00:00:00,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,2024-09-08 00:00:00,10.0,Nível 2 (5o e 6o ano),0.0
ALUNO-376,4.0,A,Escola Pública,Ingressante,Quartzo,5216,2024-08-08 00:00:00,2024-08-05 00:00:00,0.0,2024-09-03 00:00:00,2024-07-07 00:00:00,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não,2024-07-05 00:00:00,5.0,Nível 6 (2o EM),-2.0
ALUNO-377,3.0,G,Rede Decisão,Veterano,Ametista,7110,2024-08-08 00:00:00,2024-05-07 00:00:00,2024-06-05 00:00:00,2024-02-04 00:00:00,2024-05-07 00:00:00,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-09-07 00:00:00,10.0,Nível 3 (7o e 8o ano),0.0
ALUNO-378,6.0,C,Rede Decisão,Veterano,Ametista,7441,2024-07-06 00:00:00,2024-08-07 00:00:00,2024-04-04 00:00:00,2024-07-07 00:00:00,2024-08-07 00:00:00,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,2024-03-07 00:00:00,10.0,Nível 6 (2o EM),0.0
ALUNO-379,4.0,E,Escola Pública,Veterano,Quartzo,4151,10.0,2024-08-02 00:00:00,5.0,2024-07-01 00:00:00,2024-06-05 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Alocado em Fase anterior,Não,2024-05-03 00:00:00,5.0,Nível 5 (1o EM),-1.0
ALUNO-381,0.0,I,Escola Pública,Veterano,Ametista,7052,2024-05-09 00:00:00,2024-03-08 00:00:00,2024-03-06 00:00:00,2024-01-06 00:00:00,2024-08-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-06-06 00:00:00,5.0,Nível 2 (5o e 6o ano),-2.0
ALUNO-383,0.0,R,Escola Pública,Ingressante,Ametista,6915,2024-05-09 00:00:00,2024-08-05 00:00:00,2024-05-07 00:00:00,2024-03-06 00:00:00,2024-02-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-08-07 00:00:00,5.0,Nível 2 (5o e 6o ano),-2.0
ALUNO-384,1.0,C,Escola Pública,Ingressante,Ametista,7418,2024-05-08 00:00:00,2024-02-09 00:00:00,2024-08-08 00:00:00,2024-06-03 00:00:00,2024-01-08 00:00:00,Promovido de Fase,Promovido de Fase,Mantido na Fase + Bolsa,Não avaliado,Sim,2024-01-09 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-385,3.0,M,Escola Pública,Veterano,Quartzo,5435,2024-08-08 00:00:00,2024-09-03 00:00:00,2024-05-07 00:00:00,2024-06-02 00:00:00,2024-03-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-04-06 00:00:00,5.0,Nível 5 (1o EM),-2.0
ALUNO-387,3.0,R,Escola Pública,Veterano,Ágata,6190,2024-09-07 00:00:00,2024-08-05 00:00:00,5.0,2024-06-06 00:00:00,2024-03-07 00:00:00,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-09-05 00:00:00,5.0,Nível 4 (9o ano),-1.0
ALUNO-388,2.0,C,Escola Pública,Veterano,Ágata,6007,2024-05-09 00:00:00,2024-08-03 00:00:00,2024-05-07 00:00:00,2024-08-03 00:00:00,2024-05-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-07-07 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-389,6.0,A,Rede Decisão,Veterano,Ametista,8201,2024-03-08 00:00:00,2024-06-08 00:00:00,2024-03-06 00:00:00,9.0,2024-04-09 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não,2024-09-08 00:00:00,5.0,Nível 7 (3o EM),-1.0
ALUNO-393,2.0,F,Escola Pública,Veterano,Ametista,7260,9.0,2024-07-06 00:00:00,2024-05-07 00:00:00,2024-04-07 00:00:00,2024-01-08 00:00:00,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-04-07 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-394,4.0,F,Rede Decisão,Veterano,Ágata,6053,2024-01-07 00:00:00,2024-03-05 00:00:00,2024-09-06 00:00:00,2024-02-05 00:00:00,2024-02-07 00:00:00,Promovido de Fase,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não,2024-07-06 00:00:00,5.0,Nível 6 (2o EM),-2.0
ALUNO-396,5.0,A,Escola Pública,Veterano,Ametista,7593,2024-09-07 00:00:00,2024-01-08 00:00:00,2024-05-07 00:00:00,2024-02-07 00:00:00,2024-07-07 00:00:00,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Não,2024-07-08 00:00:00,5.0,Nível 6 (2o EM),-1.0
ALUNO-397,3.0,B,Rede Decisão,Veterano,Quartzo,4257,2024-07-06 00:00:00,2024-08-02 00:00:00,2024-01-03 00:00:00,2024-05-02 00:00:00,2024-06-04 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-08-03 00:00:00,10.0,Nível 3 (7o e 8o ano),0.0
ALUNO-400,1.0,C,Escola Pública,Veterano,Quartzo,3729,0.0,2024-03-03 00:00:00,2024-06-05 00:00:00,2024-02-01 00:00:00,2024-03-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-02-05 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-403,3.0,D,Escola Pública,Ingressante,Ametista,7878,2024-02-09 00:00:00,2024-02-07 00:00:00,2024-05-07 00:00:00,2024-04-06 00:00:00,2024-09-07 00:00:00,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-05-08 00:00:00,10.0,Nível 3 (7o e 8o ano),0.0
ALUNO-404,4.0,G,Rede Decisão,Veterano,Topázio,8499,2024-08-08 00:00:00,2024-02-09 00:00:00,2024-05-07 00:00:00,2024-04-07 00:00:00,2024-09-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,2024-03-08 00:00:00,10.0,Nível 4 (9o ano),0.0
ALUNO-405,0.0,S,Escola Pública,Ingressante,Ametista,7767,2024-05-08 00:00:00,2024-03-08 00:00:00,2024-05-07 00:00:00,6.0,2024-05-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-08-07 00:00:00,10.0,ALFA  (2o e 3o ano),0.0
ALUNO-406,1.0,A,Escola Pública,Veterano,Ágata,6868,9.0,2024-03-08 00:00:00,2024-09-06 00:00:00,2024-04-06 00:00:00,2024-05-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-04-05 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-407,4.0,G,Rede Decisão,Veterano,Topázio,8475,2024-03-08 00:00:00,2024-09-08 00:00:00,2024-05-07 00:00:00,2024-06-06 00:00:00,2024-02-09 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Sim,2024-04-09 00:00:00,10.0,Nível 4 (9o ano),0.0
ALUNO-408,1.0,C,Escola Pública,Veterano,Topázio,8699,9.0,2024-02-09 00:00:00,2024-08-08 00:00:00,2024-02-07 00:00:00,2024-08-08 00:00:00,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-09-08 00:00:00,10.0,Nível 1 (4o ano),0.0
ALUNO-416,2.0,H,Escola Pública,Veterano,Ametista,7349,9.0,2024-08-08 00:00:00,2024-04-04 00:00:00,2024-09-06 00:00:00,2024-03-07 00:00:00,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não avaliado,Não,2024-02-08 00:00:00,5.0,Nível 4 (9o ano),-2.0
ALUNO-421,4.0,F,Escola Pública,Veterano,Ágata,6624,2024-02-09 00:00:00,2024-08-05 00:00:00,2024-05-07 00:00:00,2024-08-05 00:00:00,2024-07-07 00:00:00,Promovido de Fase,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não,2024-09-06 00:00:00,5.0,Nível 6 (2o EM),-2.0
ALUNO-422,0.0,Q,Escola Pública,Ingressante,Ametista,7965,9.0,10.0,2024-05-07 00:00:00,2024-02-07 00:00:00,2024-04-08 00:00:00,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-07-07 00:00:00,5.0,Nível 2 (5o e 6o ano),-2.0
ALUNO-423,5.0,F,Escola Pública,Ingressante,Quartzo,3146,0.0,2024-07-01 00:00:00,5.0,2024-05-01 00:00:00,2024-09-06 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,2024-02-04 00:00:00,5.0,Nível 7 (3o EM),-2.0
ALUNO-424,2.0,I,Escola Pública,Veterano,Ágata,5990,9.0,5.0,2024-05-07 00:00:00,2024-05-04 00:00:00,2024-03-07 00:00:00,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-01-06 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-425,3.0,F,Escola Pública,Veterano,Ágata,6642,2024-02-09 00:00:00,2024-04-06 00:00:00,2024-05-07 00:00:00,2024-05-05 00:00:00,2024-01-07 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-09-06 00:00:00,5.0,Nível 4 (9o ano),-1.0
ALUNO-432,0.0,I,Escola Pública,Veterano,Quartzo,4946,9.0,2024-07-06 00:00:00,5.0,2024-06-02 00:00:00,2024-05-02 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-08-04 00:00:00,5.0,Nível 2 (5o e 6o ano),-2.0
ALUNO-435,5.0,B,Escola Pública,Veterano,Quartzo,4169,2024-07-06 00:00:00,2024-07-04 00:00:00,0.0,3.0,2024-05-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Promovido de Fase,Não,2024-05-03 00:00:00,5.0,Nível 7 (3o EM),-2.0
ALUNO-436,2.0,J,Escola Pública,Ingressante,Ametista,7743,2024-05-09 00:00:00,2024-08-08 00:00:00,2024-05-07 00:00:00,2024-03-06 00:00:00,2024-05-08 00:00:00,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-04-08 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-437,2.0,P,Escola Pública,Veterano,Ágata,6482,2024-05-08 00:00:00,5.0,2024-05-07 00:00:00,4.0,2024-07-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-06-06 00:00:00,10.0,Nível 2 (5o e 6o ano),0.0
ALUNO-438,5.0,B,Escola Pública,Ingressante,Ágata,5756,2024-02-09 00:00:00,2024-03-05 00:00:00,2024-05-07 00:00:00,2024-08-02 00:00:00,2024-05-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Não,2024-01-06 00:00:00,5.0,Nível 7 (3o EM),-2.0
ALUNO-440,5.0,B,Escola Pública,Ingressante,Ametista,7382,2024-03-08 00:00:00,2024-01-08 00:00:00,2024-05-07 00:00:00,2024-07-06 00:00:00,2024-01-08 00:00:00,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase,Não,2024-07-07 00:00:00,5.0,Nível 6 (2o EM),-1.0
ALUNO-441,2.0,R,Escola Pública,Veterano,Ametista,7571,9.0,2024-09-07 00:00:00,2024-03-06 00:00:00,2024-08-07 00:00:00,2024-01-08 00:00:00,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,8.0,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-442,1.0,F,Escola Pública,Veterano,Quartzo,5188,2024-05-08 00:00:00,2024-02-04 00:00:00,2024-05-07 00:00:00,0.7,2024-05-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-08-06 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-444,1.0,J,Escola Pública,Ingressante,Ágata,6469,2024-05-09 00:00:00,2024-02-04 00:00:00,2024-05-07 00:00:00,2024-01-05 00:00:00,2024-01-08 00:00:00,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,2024-01-08 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-447,1.0,J,Escola Pública,Veterano,Ametista,7690,2024-05-09 00:00:00,2024-06-09 00:00:00,5.0,2024-04-06 00:00:00,2024-09-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,2024-07-08 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-448,3.0,R,Escola Pública,Veterano,Ametista,7850,2024-02-09 00:00:00,2024-08-07 00:00:00,2024-05-07 00:00:00,2024-03-06 00:00:00,2024-05-07 00:00:00,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-01-08 00:00:00,10.0,Nível 3 (7o e 8o ano),0.0
ALUNO-449,2.0,N,Escola Pública,Veterano,Ametista,7653,2024-05-08 00:00:00,2024-05-07 00:00:00,2024-05-07 00:00:00,2024-09-04 00:00:00,2024-05-08 00:00:00,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-06-08 00:00:00,10.0,Nível 2 (5o e 6o ano),0.0
ALUNO-450,5.0,A,Escola Pública,Ingressante,Ametista,7196,2024-01-07 00:00:00,2024-05-07 00:00:00,2024-05-07 00:00:00,2024-03-06 00:00:00,2024-01-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não,2024-03-08 00:00:00,5.0,Nível 6 (2o EM),-1.0
ALUNO-451,1.0,E,Escola Pública,Veterano,Ágata,5667,2024-05-08 00:00:00,5.0,2024-05-07 00:00:00,1.0,2024-03-08 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-07-07 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-452,1.0,G,Escola Pública,Ingressante,Ametista,7118,7.0,2024-08-08 00:00:00,2024-05-07 00:00:00,2024-08-04 00:00:00,2024-01-08 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-03-08 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-455,2.0,F,Escola Pública,Veterano,Ametista,7154,2024-05-08 00:00:00,2024-01-07 00:00:00,2024-05-07 00:00:00,2024-09-04 00:00:00,2024-03-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-02-07 00:00:00,10.0,Nível 2 (5o e 6o ano),0.0
ALUNO-463,4.0,G,Rede Decisão,Veterano,Topázio,8292,2024-06-09 00:00:00,2024-03-08 00:00:00,2024-05-07 00:00:00,7.0,2024-08-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,2024-02-08 00:00:00,10.0,Nível 3 (7o e 8o ano),1.0
ALUNO-465,0.0,S,Escola Pública,Ingressante,Ametista,8123,2024-05-08 00:00:00,10.0,2024-05-07 00:00:00,2024-06-07 00:00:00,2024-08-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-06-08 00:00:00,5.0,Nível 2 (5o e 6o ano),-2.0
ALUNO-468,2.0,N,Escola Pública,Ingressante,Ágata,6583,7.0,2024-03-06 00:00:00,2024-05-07 00:00:00,2024-06-03 00:00:00,2024-07-07 00:00:00,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.0,10.0,Nível 2 (5o e 6o ano),0.0
ALUNO-469,4.0,A,Rede Decisão,Veterano,Ágata,6759,2024-03-06 00:00:00,2024-07-06 00:00:00,2024-05-07 00:00:00,2024-04-06 00:00:00,2024-03-07 00:00:00,Promovido de Fase,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não,2024-02-05 00:00:00,10.0,Nível 3 (7o e 8o ano),1.0
ALUNO-474,2.0,H,Escola Pública,Veterano,Ametista,7215,9.0,2024-05-07 00:00:00,2024-05-07 00:00:00,2024-06-04 00:00:00,2024-01-07 00:00:00,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-02-07 00:00:00,10.0,Nível 2 (5o e 6o ano),0.0
ALUNO-477,2.0,L,Escola Pública,Veterano,Quartzo,5185,0.0,2024-08-05 00:00:00,2024-05-07 00:00:00,2024-03-04 00:00:00,2024-03-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-09-05 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-482,2.0,F,Rede Decisão,Veterano,Topázio,9021,10.0,10.0,2024-05-07 00:00:00,2024-01-09 00:00:00,2024-08-09 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não avaliado,Sim,2024-08-09 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-483,2.0,G,Rede Decisão,Veterano,Ametista,7644,2024-05-09 00:00:00,2024-03-08 00:00:00,5.0,2024-01-08 00:00:00,2024-09-07 00:00:00,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,2024-01-08 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-485,3.0,D,Escola Pública,Ingressante,Ágata,6387,2024-01-07 00:00:00,2024-01-06 00:00:00,2024-05-07 00:00:00,5.0,2024-03-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-04-07 00:00:00,5.0,Nível 4 (9o ano),-1.0
ALUNO-486,2.0,C,Escola Pública,Ingressante,Quartzo,5511,0.0,2024-03-06 00:00:00,2024-05-07 00:00:00,6.0,2024-07-06 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-07-05 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-487,0.0,S,Escola Pública,Veterano,Ametista,7440,10.0,2024-07-06 00:00:00,2024-05-07 00:00:00,2024-01-07 00:00:00,2024-08-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-03-08 00:00:00,5.0,Nível 1 (4o ano),-1.0
ALUNO-488,3.0,R,Escola Pública,Veterano,Ágata,5539,2024-03-08 00:00:00,2024-03-05 00:00:00,2024-05-07 00:00:00,3.0,2024-01-07 00:00:00,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-05-05 00:00:00,5.0,Nível 4 (9o ano),-1.0
ALUNO-490,4.0,A,Rede Decisão,Ingressante,Ametista,7044,2024-08-08 00:00:00,2024-08-07 00:00:00,2024-09-06 00:00:00,2024-05-06 00:00:00,2024-03-07 00:00:00,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,Não,7.0,5.0,Nível 6 (2o EM),-2.0
ALUNO-494,1.0,C,Escola Pública,Ingressante,Topázio,8268,2024-05-09 00:00:00,2024-02-09 00:00:00,2024-05-07 00:00:00,2024-02-07 00:00:00,2024-08-08 00:00:00,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Sim,2024-06-09 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-496,4.0,A,Rede Decisão,Ingressante,Ametista,7895,2024-06-09 00:00:00,2024-07-06 00:00:00,2024-05-07 00:00:00,2024-05-07 00:00:00,2024-03-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,Não,2024-07-07 00:00:00,10.0,Nível 3 (7o e 8o ano),1.0
ALUNO-497,2.0,K,Escola Pública,Ingressante,Ametista,7599,9.0,2024-03-08 00:00:00,2024-05-07 00:00:00,2024-06-06 00:00:00,2024-01-08 00:00:00,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,2024-02-08 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-498,3.0,H,Escola Pública,Ingressante,Ágata,5735,2024-06-09 00:00:00,2024-09-03 00:00:00,5.0,2024-08-03 00:00:00,2024-03-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-01-05 00:00:00,10.0,Nível 3 (7o e 8o ano),0.0
ALUNO-499,2.0,A,Rede Decisão,Veterano,Ametista,7497,9.0,2024-01-07 00:00:00,2024-05-07 00:00:00,2024-01-07 00:00:00,2024-05-07 00:00:00,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-08-08 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-500,7.0,A,Rede Decisão,Veterano,Ametista,7878,2024-02-09 00:00:00,2024-09-08 00:00:00,2024-06-05 00:00:00,2024-04-06 00:00:00,2024-01-08 00:00:00,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não,2024-06-07 00:00:00,10.0,Nível 7 (3o EM),0.0
ALUNO-502,4.0,G,Escola Pública,Veterano,Ágata,6853,10.0,2024-07-04 00:00:00,2024-05-07 00:00:00,2024-09-03 00:00:00,2024-08-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não,2024-05-07 00:00:00,10.0,Nível 4 (9o ano),0.0
ALUNO-503,0.0,J,Escola Pública,Ingressante,Ametista,8008,2024-05-09 00:00:00,10.0,2024-05-07 00:00:00,2024-09-06 00:00:00,2024-05-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-04-08 00:00:00,5.0,Nível 1 (4o ano),-1.0
ALUNO-506,0.0,J,Escola Pública,Veterano,#NULO!,#NULO!,2024-04-07 00:00:00,0.0,5.0,2024-01-04 00:00:00,0.0,Não avaliado,Não avaliado,Não avaliado,Não avaliado,#NULO!,0.0,10.0,ALFA  (2o e 3o ano),0.0
ALUNO-507,4.0,E,Escola Pública,Veterano,Ágata,5580,2024-06-09 00:00:00,2024-09-03 00:00:00,5.0,2024-08-02 00:00:00,2024-02-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não,2024-03-05 00:00:00,10.0,Nível 4 (9o ano),0.0
ALUNO-511,0.0,S,Escola Pública,Ingressante,Ametista,7296,2024-05-07 00:00:00,2024-03-08 00:00:00,2024-05-07 00:00:00,2024-06-06 00:00:00,2024-05-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-08-07 00:00:00,5.0,Nível 1 (4o ano),-1.0
ALUNO-512,4.0,A,Rede Decisão,Veterano,Ametista,7972,2024-03-08 00:00:00,2024-06-08 00:00:00,2024-05-07 00:00:00,7.0,2024-08-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Sim,2024-05-09 00:00:00,5.0,Nível 5 (1o EM),-1.0
